"Sex ratio at birth (male to female births)"
"82","Peru","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"106","Philippines","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"32","Poland","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"40","Portugal","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"41","Qatar","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"52","Romania","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"49","Russian Federation","1.05","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"157","Rwanda","1.01","","1.01","","1.01","","1.01","","1.01","","1.02","","1.02"," a,b"
"89","Saint Lucia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"94","Saint Vincent and the Grenadines","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"111","Samoa","1.08","","1.08","","1.08","","1.08","","1.08","","1.08","","1.08"," a,b"
"137","Sao Tome and Principe","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"36","Saudi Arabia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"166","Senegal","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"63","Serbia","1.05","","1.05","","1.05","","1.06","","1.07","","1.07","","1.07"," a,b"
"62","Seychelles","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"181","Sierra Leone","1.02","","1.02","","1.02","","1.02","","1.02","","1.02","","1.02"," a,b"
"9","Singapore","1.07","","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a,b"
"36","Slovakia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"24","Slovenia","1.06","","1.06","","1.07","","1.06","","1.06","","1.06","","1.06"," a,b"
"153","Solomon Islands","1.07","","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a,b"
"..","Somalia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"113","South Africa","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"186","South Sudan","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"25","Spain","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"71","Sri Lanka","1.05","","1.04","","1.04","","1.05","","1.04","","1.04","","1.04"," a,b"
"168","Sudan","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"98","Suriname","1.08","","1.08","","1.08","","1.08","","1.08","","1.08","","1.08"," a,b"
"8","Sweden","1.06","","1.05","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"2","Switzerland","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"154","Syrian Arab Republic","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"125","Tajikistan","1.05","","1.06","","1.06","","1.07","","1.07","","1.07","","1.07"," a,b"
"159","Tanzania (United Republic of)","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"77","Thailand","1.05","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a,b"
"131","Timor-Leste","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"167","Togo","1.02","","1.02","","1.02","","1.02","","1.02","","1.02","","1.02"," a,b"
"105","Tonga","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"63","Trinidad and Tobago","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a,b"
"91","Tunisia","1.07","","1.08","","1.08","","1.08","","1.08","","1.07","","1.06"," a,b"
"59","Turkey","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"108","Turkmenistan","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"159","Uganda","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"88","Ukraine","1.06","","1.06","","1.06","","1.06","","1.06","","1.07","","1.06"," a,b"
"35","United Arab Emirates","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"15","United Kingdom","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"15","United States","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"57","Uruguay","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"108","Uzbekistan","1.05","","1.07","","1.06","","1.06","","1.07","","1.06","","1.06"," a,b"
"141","Vanuatu","1.07","","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a,b"
"96","Venezuela (Bolivarian Republic of)","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"118","Viet Nam","1.06","","1.07","","1.07","","1.08","","1.12","","1.13","","1.12"," a,b"
"177","Yemen","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a,b"
"143","Zambia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a,b"
"150","Zimbabwe","1.03","","1.03","","1.03","","1.02","","1.02","","1.02","","1.02"," a,b"
"36","Andorra","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..",""
"73","Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","..","","..",""
"117","Marshall Islands","..","","..","","..","","..","","..","","..","","..",""
"55","Palau","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","1.05","","1.06","","1.05","","1.05","","1.05","","1.05","","1.05",""
" ","High human development","1.07","","1.07","","1.09","","1.09","","1.10","","1.09","","1.08",""
" ","Medium human development","1.07","","1.08","","1.09","","1.09","","1.08","","1.08","","1.08",""
" ","Low human development","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04",""
" ","Developing Countries","1.06","","1.07","","1.08","","1.08","","1.08","","1.07","","1.07",""
"","Regions"," ","","..","","..","","..","","..","","..","","..",""
" ","Arab States","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05",""
" ","East Asia and the Pacific","1.07","","1.09","","1.11","","1.11","","1.13","","1.11","","1.10",""
" ","Europe and Central Asia","1.05","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06",""
" ","Latin America and the Caribbean","1.05","","1.05","","1.05","","1.05","","1.05","","1.05","","1.05",""
" ","South Asia","1.08","","1.09","","1.10","","1.10","","1.09","","1.09","","1.09",""
" ","Sub-Saharan Africa","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04",""
" ","Least Developed Countries","1.04","","1.04","","1.04","","1.04","","1.04","","1.04","","1.04",""
" ","Small Island Developing States","1.06","","1.06","","1.06","","1.06","","1.06","","1.06","","1.06",""
" ","Organization for Economic Co-operation and Development","1.05","","1.06","","1.05","","1.05","","1.05","","1.05","","1.05",""
" ","World","1.06","","1.07","","1.08","","1.08","","1.07","","1.07","","1.07",""
"a: The natural sex ratio at birth is commonly assumed and empirically confirmed to be 1.05 male births to 1 female birth."
"b: Data are average annual estimates for 2015 and 2020."
""
