"Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64))"
"182","Eritrea","5.3","","7.0","","7.6","","6.6","","7.1","","7.3","","7.6","","7.8","","8.0","","8.2","","8.3","","8.4","","8.4",""
"30","Estonia","17.6","","20.7","","22.3","","24.6","","26.0","","26.5","","27.1","","27.7","","28.3","","28.9","","29.4","","30.0","","30.7",""
"138","Eswatini (Kingdom of)","5.0","","5.0","","5.2","","5.9","","6.5","","6.6","","6.7","","6.8","","6.9","","6.9","","7.0","","7.0","","6.9",""
"173","Ethiopia","6.3","","6.1","","6.2","","6.2","","6.4","","6.4","","6.4","","6.4","","6.4","","6.4","","6.3","","6.3","","6.3",""
"98","Fiji","5.0","","5.0","","5.5","","6.3","","7.3","","7.4","","7.5","","7.6","","7.7","","7.6","","7.9","","8.1","","8.4",""
"12","Finland","20.0"," d","21.4"," d","22.4"," d","24.1"," d","26.0"," d","27.0"," d","28.1"," d","29.5"," d","30.8"," d","32.0"," d","33.1"," d","34.1"," d","35.0"," d"
"26","France","21.3","","23.2","","24.7","","25.3","","26.1","","26.6","","27.4","","28.3","","29.2","","30.1","","30.9","","31.6","","32.3",""
"115","Gabon","10.7","","10.4","","9.7","","8.4","","7.0","","6.8","","6.6","","6.4","","6.2","","6.0","","6.0","","6.0","","6.0",""
"174","Gambia","4.4","","4.8","","5.1","","5.1","","5.1","","5.1","","5.1","","5.1","","5.1","","5.0","","5.0","","4.9","","4.9",""
"70","Georgia","14.1"," e","17.4"," e","19.5"," e","21.8"," e","21.0"," e","21.0"," e","21.0"," e","21.1"," e","21.3"," e","21.5"," e","21.9"," e","22.3"," e","22.8"," e"
"4","Germany","21.6","","22.7","","24.3","","28.3","","31.2","","31.5","","31.7","","31.9","","32.1","","32.4","","32.6","","32.8","","33.1",""
"142","Ghana","5.3","","5.3","","5.3","","5.0","","4.9","","5.0","","5.0","","5.1","","5.1","","5.1","","5.1","","5.2","","5.2",""
"32","Greece","20.3","","21.7","","24.0","","26.6","","29.1","","29.6","","30.2","","30.9","","31.6","","32.2","","32.8","","33.2","","33.7",""
"78","Grenada","15.0","","14.2","","14.7","","14.0","","14.8","","14.7","","14.5","","14.4","","14.3","","14.3","","14.3","","14.3","","14.4",""
"126","Guatemala","6.6","","7.2","","7.6","","7.8","","7.6","","7.6","","7.6","","7.5","","7.6","","7.6","","7.7","","7.8","","7.9",""
"174","Guinea","6.8","","7.1","","6.8","","6.4","","6.0","","5.9","","5.8","","5.7","","5.6","","5.5","","5.5","","5.5","","5.5",""
"178","Guinea-Bissau","6.7","","6.1","","5.7","","5.2","","5.0","","5.0","","4.9","","4.9","","4.9","","4.9","","5.0","","5.1","","5.1",""
"123","Guyana","6.6","","6.5","","6.8","","7.8","","7.3","","7.5","","7.8","","8.2","","8.5","","8.8","","9.2","","9.5","","9.9",""
"169","Haiti","7.7","","7.5","","7.4","","7.4","","7.6","","7.6","","7.6","","7.6","","7.6","","7.6","","7.7","","7.9","","8.0",""
"132","Honduras","6.6","","6.7","","6.9","","6.9","","6.8","","6.8","","6.8","","6.9","","6.9","","7.0","","7.1","","7.2","","7.4",""
"4","Hong Kong, China (SAR)","12.6","","14.1","","15.3","","16.7","","17.2","","17.6","","18.2","","18.9","","19.7","","20.6","","21.6","","22.6","","23.7",""
"43","Hungary","20.4","","21.1","","22.2","","22.7","","23.3","","23.7","","24.1","","24.5","","25.0","","25.7","","26.6","","27.7","","28.8",""
"6","Iceland","16.6","","17.5","","17.8","","17.9","","17.9","","18.3","","18.8","","19.4","","20.1","","20.8","","21.4","","22.0","","22.6",""
"129","India","6.5","","6.8","","7.2","","7.6","","7.9","","8.0","","8.1","","8.2","","8.4","","8.5","","8.7","","9.0","","9.3",""
"111","Indonesia","6.3","","6.7","","7.3","","7.3","","7.5","","7.6","","7.7","","7.8","","7.9","","8.0","","8.2","","8.4","","8.7",""
"65","Iran (Islamic Republic of)","6.4","","7.0","","7.1","","7.0","","7.3","","7.4","","7.6","","7.8","","8.0","","8.3","","8.4","","8.7","","8.9",""
"120","Iraq","7.6","","6.9","","6.5","","6.2","","6.1","","5.9","","5.7","","5.6","","5.4","","5.4","","5.5","","5.6","","5.7",""
"3","Ireland","18.2","","16.8","","15.5","","15.2","","16.1","","16.7","","17.4","","18.1","","18.8","","19.6","","20.2","","20.8","","21.4",""
"22","Israel","14.9","","16.0","","16.2","","16.1","","16.8","","17.0","","17.3","","17.6","","18.0","","18.4","","18.9","","19.4","","19.9",""
"29","Italy","21.7","","24.2","","27.1","","29.7","","31.2","","31.7","","32.2","","32.9","","33.5","","34.1","","34.7","","35.1","","35.6",""
"96","Jamaica","12.6","","12.5","","13.0","","12.8","","12.7","","12.7","","12.7","","12.7","","12.7","","12.7","","12.8","","12.9","","13.0",""
"19","Japan","17.0","","20.6","","24.9","","29.5","","35.1","","36.4","","38.0","","39.6","","41.2","","42.7","","44.0","","45.1","","46.2",""
"102","Jordan","6.3","","5.2","","5.3","","5.7","","6.2","","6.2","","6.2","","6.2","","6.2","","6.2","","6.2","","6.2","","6.2",""
"50","Kazakhstan","9.4","","11.4","","10.4","","11.3","","9.9","","9.9","","10.0","","10.0","","10.1","","10.2","","10.5","","11.0","","11.5",""
"147","Kenya","5.1","","4.7","","4.3","","3.9","","3.5","","3.6","","3.6","","3.6","","3.7","","3.7","","3.8","","3.9","","4.0",""
"132","Kiribati","6.1","","6.2","","5.8","","5.9","","5.9","","5.9","","5.8","","5.8","","5.8","","5.8","","6.0","","6.3","","6.5",""
"..","Korea (Democratic People's Rep. of)","6.3","","7.5","","8.6","","10.9","","12.8","","13.2","","13.5","","13.9","","14.0","","14.0","","13.9","","13.6","","13.2",""
"22","Korea (Republic of)","7.5","","8.4","","10.0","","12.3","","14.6","","15.1","","15.7","","16.3","","16.9","","17.5","","18.2","","19.0","","19.9",""
