"Fresh water withdrawals (% of total renewable water resources)"
"145","Myanmar","..","","..","","2.8","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"130","Namibia","..","","0.7","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"147","Nepal","..","","..","","4.5","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"10","Netherlands","..","","..","","..","","..","","..","","..","","11.8","","..","","9.8","","..","","..","","..",""
"14","New Zealand","..","","..","","..","","..","","1.6","","..","","..","","..","","..","","..","","..","","..",""
"126","Nicaragua","..","","..","","..","","..","","..","","0.9","","..","","..","","..","","..","","..","","..",""
"189","Niger","1.5","","..","","..","","2.9","","..","","..","","..","","..","","..","","..","","5.1","","..",""
"158","Nigeria","..","","..","","3.6","","4.0","","4.4","","..","","..","","..","","..","","..","","..","","..",""
"47","Oman","..","","..","","92.9","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"152","Pakistan","..","","..","","69.9","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"119","Palestine, State of","..","","..","","..","","48.8","","..","","..","","..","","..","","..","","..","","42.8","","..",""
"67","Panama","..","","..","","..","","..","","0.7","","..","","..","","..","","..","","..","","0.9","","..",""
"155","Papua New Guinea","..","","..","","0.0","","0.0","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Paraguay","..","","..","","0.1","","..","","..","","..","","0.6","","..","","..","","..","","..","","..",""
"106","Philippines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","17.8","","..",""
"32","Poland","..","","..","","..","","..","","..","","..","","19.0","","..","","..","","..","","17.5","","..",""
"41","Qatar","..","","..","","282.6","","374.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"52","Romania","9.6","","..","","..","","..","","..","","..","","3.1","","..","","..","","..","","3.0","","..",""
"49","Russian Federation","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","1.5","","..",""
"157","Rwanda","..","","..","","1.1","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"73","Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","51.3","","..","","..","","..","","..","","..",""
"94","Saint Vincent and the Grenadines","..","","10.0","","..","","..","","..","","..","","..","","7.9","","..","","..","","..","","..",""
"137","Sao Tome and Principe","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","1.9","","..",""
"36","Saudi Arabia","..","","..","","..","","..","","..","","..","","797.5","","..","","..","","..","","..","","871.7",""
"63","Serbia","..","","..","","..","","..","","..","","..","","2.4","","..","","..","","..","","2.9","","..",""
"181","Sierra Leone","..","","..","","0.1","","0.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"36","Slovakia","..","","..","","..","","..","","..","","..","","1.3","","..","","..","","..","","1.1","","..",""
"24","Slovenia","..","","..","","..","","..","","..","","..","","2.9","","..","","..","","..","","2.8","","..",""
"..","Somalia","..","","..","","22.4","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"113","South Africa","25.9","","25.1","","24.8","","..","","..","","..","","..","","30.2","","..","","..","","..","","..",""
"186","South Sudan","..","","..","","..","","..","","..","","1.3","","..","","..","","..","","..","","..","","..",""
"25","Spain","..","","..","","..","","..","","..","","..","","33.0","","..","","28.7","","..","","..","","..",""
"71","Sri Lanka","18.5","","..","","24.6","","24.5","","..","","..","","..","","..","","..","","..","","..","","..",""
"168","Sudan","..","","..","","..","","..","","..","","71.2","","..","","..","","..","","..","","..","","..",""
"98","Suriname","..","","..","","0.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"8","Sweden","..","","..","","..","","..","","1.5","","..","","..","","..","","..","","..","","..","","..",""
"2","Switzerland","..","","..","","..","","..","","..","","..","","3.7","","..","","..","","..","","..","","..",""
"154","Syrian Arab Republic","..","","..","","..","","84.2","","..","","..","","..","","..","","..","","..","","..","","..",""
"125","Tajikistan","..","","..","","53.2","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"63","Trinidad and Tobago","..","","..","","8.2","","8.0","","..","","8.8","","..","","..","","..","","..","","..","","..",""
"91","Tunisia","66.5","","61.7","","..","","..","","..","","69.7","","..","","..","","..","","..","","..","","103.3",""
"59","Turkey","..","","..","","19.9","","..","","..","","..","","..","","..","","..","","..","","27.8","","..",""
"108","Turkmenistan","..","","..","","100.6","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"88","Ukraine","..","","..","","10.4","","8.6","","8.5","","..","","..","","..","","..","","..","","5.6","","..",""
"35","United Arab Emirates","..","","1149.0","","1556.0","","1867.0","","..","","..","","..","","..","","..","","..","","..","","..",""
"15","United Kingdom","8.2","","8.2","","..","","..","","..","","..","","5.5","","..","","..","","..","","5.7","","..",""
"15","United States","15.2","","..","","15.4","","15.6","","13.6","","..","","..","","..","","..","","14.5","","..","","..",""
"57","Uruguay","..","","..","","2.1","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"108","Uzbekistan","..","","..","","..","","100.6","","..","","..","","..","","..","","..","","..","","108.1","","..",""
"96","Venezuela (Bolivarian Republic of)","..","","..","","0.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"118","Viet Nam","..","","..","","..","","9.3","","..","","..","","..","","..","","..","","..","","..","","..",""
"177","Yemen","139.1","","..","","161.1","","168.6","","..","","..","","..","","..","","..","","..","","..","","..",""
"143","Zambia","..","","1.5","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"36","Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"17","Belgium","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"163","Benin","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135","Bangladesh","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"60","Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"43","Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"134","Bhutan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"42","Chile","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"138","Congo","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"156","Comoros","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"126","Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135","Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"174","Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"32","Greece","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"126","Guatemala","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4","Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"132","Honduras","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"3","Ireland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19","Japan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"146","Cambodia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"132","Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"57","Kuwait","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"89","Saint Lucia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"107","Moldova (Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"104","Maldives","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"117","Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"82","The former Yugoslav Republic of Macedonia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"184","Mali","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"52","Montenegro","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"1","Norway","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"82","Peru","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"55","Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"40","Portugal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"166","Senegal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"9","Singapore","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"153","Solomon Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"62","Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"167","Togo","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"77","Thailand","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"131","Timor-Leste","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"105","Tonga","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"159","Tanzania (United Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"159","Uganda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"141","Vanuatu","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"111","Samoa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"150","Zimbabwe","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","High human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Medium human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Low human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Developing Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Regions","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","East Asia and the Pacific","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Europe and Central Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Latin America and the Caribbean","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","South Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Sub-Saharan Africa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Least Developed Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Small Island Developing States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Organization for Economic Co-operation and Development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","World","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
