Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Comoros,3055.2,2807.8,2988.0,2976.9,2733.4,2757.1,2643.5,2676.2,2635.6,2621.9,2835.2,2833.3,2819.7,2809.3,2793.4,2807.4,2815.1,2781.5,2813.1,2835.6,2874.6,2921.4,2940.2,3004.9,2999.1,2970.8,3003.5,3049.0,3084.8,3099.4
 Congo,3018.8,3061.6,3186.3,2867.6,2781.4,2021.1,2032.8,2265.2,2615.8,2037.7,1800.7,2019.9,2047.8,1990.4,1825.3,1502.9,1351.1,1581.7,1825.9,2055.1,2046.4,2008.7,2395.8,2580.4,3001.6,3855.2,3417.5,3126.3,2963.9,2879.2
 Congo (Democratic Republic of the),1694.8,1494.7,1283.0,1098.4,954.1,910.5,948.7,868.9,840.1,758.1,739.7,682.8,694.6,716.6,737.6,748.5,771.2,787.4,787.4,803.1,829.9,847.5,870.3,875.3,931.8,979.9,1039.0,1029.9,1056.3,1062.5
 Costa Rica,9115.0,9278.1,9895.5,10344.2,10681.5,10801.6,10725.2,11048.5,11424.3,11415.4,11507.1,11696.8,11893.3,12217.1,12624.0,12998.1,13870.2,14854.3,15446.7,14886.8,15425.5,15876.4,16480.6,16566.5,16862.7,17238.1,17783.5,18160.7,18371.4,18486.4
 Croatia,16745.9,13287.0,11666.9,10839.3,11594.7,14814.7,15865.9,17059.6,17319.7,17023.8,17803.7,19081.1,20114.0,20897.6,22105.6,22876.9,23970.8,25305.1,25504.7,23530.6,23305.9,23345.8,22866.0,23128.3,23180.4,24299.5,24714.7,26204.5,27150.6,28069.8
 Cuba,5271.2,4686.4,4136.1,3500.9,3508.6,3555.0,3825.7,3916.6,3911.8,4133.7,4351.9,4495.7,4549.1,4706.8,4962.0,5524.4,6210.8,6636.3,6911.5,6953.1,7150.6,7395.2,7618.4,7823.0,7879.2,8217.8,8242.3,8388.4,8577.8,8620.7
 Cyprus,25033.1,24590.2,26162.4,25748.1,26677.5,27159.9,27124.3,27265.2,31122.9,29569.6,30069.6,31381.6,32901.1,33708.5,34344.6,35692.1,36635.2,37335.0,39674.1,38367.8,37691.2,38404.3,35341.5,32940.6,32193.8,34159.6,35072.0,36615.7,37458.9,38206.8
 Czechia,23866.7,21083.2,21047.7,20996.4,21602.6,22596.1,23427.0,23325.0,23269.3,23545.4,24567.8,25097.4,25363.3,26353.3,27277.3,29067.0,30497.9,31896.0,32467.9,30523.7,31046.0,31495.7,31661.7,31555.6,32087.7,33719.9,34561.8,36123.6,37294.2,38108.6
 Côte d'Ivoire,3899.8,3717.7,3629.3,3544.5,3565.2,3709.0,3774.8,4002.8,4090.8,3961.7,3869.6,3800.7,3660.4,3564.6,3547.8,3533.8,3508.4,3493.5,3512.3,3539.7,3526.9,3291.9,3576.0,3756.9,4056.7,4322.1,4512.5,4686.9,4866.0,5068.6
 Denmark,38021.6,38391.7,39101.0,39166.3,41167.6,42379.0,43293.1,44585.5,45582.2,46939.0,47957.6,48558.6,48737.1,48959.4,50631.6,52016.2,54083.0,53962.6,53693.0,50728.2,51778.1,52486.3,52486.6,53226.5,54071.2,54651.4,55649.1,56234.8,57552.6,58661.9
 Djibouti,1851.7,1754.5,1811.2,1900.5,1814.4,1899.7,1759.9,1792.5,1737.7,1786.1,1770.4,1758.6,1794.9,1927.3,1989.4,2024.4,2248.0,2327.3,2409.9,2705.6,2977.3,3304.4,3674.6,4092.2,4398.3,4700.2,4949.9,5103.1,5341.2,5689.3
 Dominica,7741.0,7881.6,8112.1,8113.5,8076.9,8264.1,8341.9,8690.0,9117.6,8860.3,8575.5,9052.4,8751.9,9451.1,9568.6,9621.4,10484.1,11004.0,11941.7,11947.1,11712.2,11699.7,11363.4,11382.7,11890.9,11528.9,11936.7,11051.8,11275.7,11884.0
 Dominican Republic,5940.2,5857.0,6453.0,6691.9,6789.5,7049.2,7396.3,7920.0,8307.3,8646.8,8925.5,9011.5,9286.3,8811.2,8751.6,9752.0,10549.3,11176.5,11558.4,11519.8,12329.7,12531.4,12709.0,13069.0,13815.7,14696.5,15464.2,15941.7,16926.9,17591.1
 Ecuador,7642.6,7900.2,7992.6,8054.4,8244.4,8277.4,8216.9,8426.6,8489.5,7743.2,7662.7,7967.0,8191.2,8250.4,8747.7,9108.0,9385.7,9427.4,10014.6,9945.4,10186.8,10807.5,11263.4,11647.4,11892.2,11692.9,11345.7,11359.7,11256.1,11044.0
 Egypt,5930.2,6057.7,6186.8,6234.5,6348.9,6520.4,6716.1,6944.0,7210.0,7464.9,7781.4,7916.1,7966.8,8053.0,8236.2,8372.7,8859.1,9360.1,9845.4,10039.0,10135.9,10157.2,10044.8,10050.8,10099.3,10382.8,10645.6,10799.6,11079.3,11466.1
 El Salvador,5124.0,5125.8,5462.0,5710.1,5931.5,6145.8,6116.6,6222.8,6338.0,6350.7,6403.6,6415.2,6450.1,6470.6,6488.9,6632.4,6936.9,7041.2,7238.9,6985.0,7122.7,7355.5,7447.2,7541.4,7634.9,7765.2,7878.8,7984.4,8140.6,8359.1
 Equatorial Guinea,3565.0,3549.0,3420.4,3715.7,3660.6,3999.7,4899.1,8786.8,10524.1,13571.2,10380.2,12198.7,15210.2,14435.2,16046.8,19244.8,24395.1,27401.8,26794.7,26908.1,19742.2,20366.4,21808.5,21134.3,20703.9,21324.3,19423.2,16604.4,14896.8,13944.1
 Eritrea,1342.1,1494.6,1669.9,1901.0,2166.3,2669.7,2676.1,2941.4,3190.6,3218.1,3121.2,2630.7,2724.1,2669.2,2478.0,2431.7,2335.9,2311.3,2033.8,2073.6,2084.1,2234.8,2365.3,2451.6,2499.1,2539.7,2560.8,2660.5,2740.1,2793.5
 Estonia,16828.3,15646.4,12878.1,11866.9,11947.6,12876.9,13649.8,15076.4,15991.3,15903.6,17241.9,18249.4,19620.1,21069.2,22704.0,25226.5,27488.7,29185.3,28190.7,24687.5,24830.1,26825.5,28030.2,28995.8,29802.9,30528.8,31298.9,33018.3,34643.3,36019.3
 Eswatini (Kingdom of),5422.1,5410.4,5469.0,5356.0,5116.4,5573.5,5846.7,5917.0,5722.9,5907.6,5754.5,6050.5,5883.7,5948.9,6279.9,7044.7,7015.0,7339.1,7242.3,7158.5,7152.2,7608.2,7975.9,8347.9,8301.7,8489.7,7955.2,7995.5,7844.3,7919.1
 Ethiopia,762.8,683.4,599.8,651.5,650.7,671.4,741.4,741.1,690.4,705.4,725.6,762.7,753.1,716.1,790.1,863.3,929.7,1009.8,1088.2,1149.2,1256.8,1358.0,1434.2,1541.8,1652.1,1771.9,1888.6,2009.6,2093.5,2206.5
 Fiji,8788.4,8776.9,8690.9,8601.8,8785.4,9145.5,9490.5,9142.6,9021.5,9743.6,9957.3,10587.8,10847.4,11072.8,11905.7,10794.4,10747.4,10633.5,10654.1,10624.4,10568.5,10812.6,10875.2,11589.0,11891.4,12227.5,12545.1,12610.8,12966.5,13009.1
 Finland,32063.2,29766.9,28320.9,27827.9,29136.9,30507.2,31766.4,33956.6,35540.0,37390.8,39633.1,40827.2,41571.2,41911.8,44041.8,44977.4,46837.0,48807.2,48899.7,45214.8,46462.7,47002.3,46163.0,45511.8,45422.1,45516.1,46395.6,47490.9,48360.2,48511.4
 France,33980.9,34117.8,34535.7,34202.2,34823.8,35432.3,35989.4,36832.2,38047.7,39414.8,40512.0,41105.8,40966.3,41127.1,42003.0,42514.7,43371.4,44145.8,44091.9,42662.0,43281.8,44155.6,43879.7,43932.0,44115.2,44453.8,44805.9,45850.9,46536.7,47172.5
 Gabon,16794.4,17388.1,16031.7,16052.3,16578.4,16744.4,16869.0,17266.7,18100.5,15751.0,13981.6,14761.0,14908.6,14627.8,13484.8,14164.2,12681.9,12759.0,11743.6,12313.0,12104.9,11978.1,13010.5,13456.9,14658.9,14164.8,14167.5,14058.1,13811.4,13929.8
 Gambia,2257.4,2248.3,2250.0,2220.0,2157.6,2120.3,2144.2,2065.4,2074.7,2137.2,2191.2,2229.8,2143.3,2146.9,2297.8,2174.0,2091.3,2097.4,2172.7,2243.4,2306.6,2045.5,2091.7,2085.5,1990.9,2009.3,1998.7,2033.7,2105.9,2167.9
 Georgia,10663.6,8447.6,5057.1,3369.2,3108.9,3221.4,3673.3,4431.3,4778.9,5041.4,5177.9,5359.0,5701.8,6349.3,6808.5,7462.0,8269.3,9188.9,9302.2,9036.2,9582.0,10268.2,11196.5,11544.5,12112.0,12334.6,12382.4,12924.0,13701.1,14428.8
 Germany,37232.4,38644.1,39032.1,38331.2,38855.1,39245.6,39513.6,40076.9,40722.5,41415.5,42615.6,43205.7,42890.6,42578.1,43803.1,44240.0,46369.5,47706.3,48016.1,45988.6,47860.4,50931.0,50968.7,51010.0,51776.1,52371.4,53213.0,54368.3,55154.7,55314.4
 Ghana,2315.0,2370.1,2395.9,2432.9,2439.6,2471.2,2519.9,2560.2,2612.6,2659.8,2681.7,2761.4,2821.9,2895.4,2973.4,3111.0,3189.6,3244.8,3457.4,3536.4,3676.1,4031.2,4208.5,4553.9,4526.3,4614.1,4638.1,4864.0,5056.5,5268.9
 Greece,24920.5,25479.5,25527.3,24910.7,25301.1,25712.6,26247.4,27308.1,28182.6,28606.4,29472.5,30614.4,31601.0,33123.9,34682.2,34541.7,36145.3,36963.5,36595.5,35193.9,33281.8,30083.7,28994.4,28044.3,28664.0,28576.3,28602.2,29145.6,29555.2,30154.6
 Grenada,8286.5,8640.6,8602.3,8198.9,8331.6,8324.0,8608.0,8977.8,9895.2,10508.3,10859.0,10429.4,10648.7,11649.1,11240.8,13665.0,13076.5,13658.2,13788.7,12424.2,12717.1,12893.8,12624.8,12952.8,13795.2,14431.6,14423.0,14711.9,15241.4,15640.9
 Guatemala,5417.3,5549.7,5653.6,5745.5,5832.1,5966.5,5973.6,6095.8,6276.6,6354.1,6428.2,6466.0,6490.5,6517.6,6565.0,6635.8,6820.5,7092.9,7211.0,7080.5,7142.8,7267.5,7423.0,7557.4,7734.5,7932.3,8028.6,8143.0,8274.2,8494.1
 Guinea,1404.9,1400.9,1425.8,1485.1,1510.2,1539.6,1575.0,1603.3,1627.7,1678.2,1684.9,1699.5,1788.3,1815.3,1813.7,1828.6,1762.6,1841.2,1868.4,1786.3,1852.1,1897.1,1971.7,1935.4,1995.5,2055.5,2228.2,2408.7,2346.6,2405.2
 Guinea-Bissau,1692.5,1664.3,1689.0,1680.4,1701.6,1712.8,1745.9,1842.5,1480.4,1651.9,1667.7,1652.0,1631.7,1601.8,1614.0,1644.3,1659.5,1679.5,1672.1,1692.4,1739.0,1850.4,1769.7,1736.3,1803.2,1847.7,1916.4,1929.2,1945.2,1996.0
 Guyana,2537.4,2255.3,2781.9,3386.0,3877.4,4124.3,4784.7,4968.6,5018.5,5080.3,5237.1,5306.7,5344.1,5390.6,5666.0,5642.6,5789.3,6265.9,6456.9,6677.7,7035.5,7390.5,7770.4,8044.3,8466.1,8670.6,8732.0,8779.9,9074.5,9455.0
 Haiti,2181.4,2180.3,2024.4,1877.5,1630.1,1765.9,1810.4,1823.6,1827.8,1841.5,1833.2,1774.4,1729.9,1704.6,1622.2,1611.6,1646.7,1672.2,1661.1,1688.7,1614.5,1683.5,1714.5,1748.9,1777.0,1770.3,1775.7,1774.9,1776.1,1708.8
 Honduras,3769.1,3517.1,3602.5,3808.9,3702.1,3812.5,3778.1,3891.1,3933.0,3824.7,3970.2,3960.8,3988.8,4041.7,4164.1,4333.4,4505.5,4754.1,4829.1,4583.4,4611.3,4686.7,4730.7,4762.8,4776.1,4925.2,5020.8,5221.7,5241.1,5308.5
" Hong Kong, China (SAR)",27931.1,29102.2,30592.6,33407.2,34501.2,34870.3,34133.8,35879.3,34235.9,34784.7,36632.7,37157.8,36952.1,38936.6,41767.7,43927.7,47568.0,50635.3,52722.7,49923.4,52435.1,54905.1,54542.5,56261.3,57500.3,58270.6,59555.7,62449.7,63984.2,62984.8
 Hungary,17910.2,15543.8,15179.4,15559.4,16009.7,16179.0,16133.6,16398.9,17039.8,17398.9,18361.5,19161.3,20146.6,21106.4,21998.4,22952.7,24002.0,23763.7,24247.4,23206.8,23369.3,23806.9,23737.8,24610.9,25314.7,26288.6,27503.2,28344.3,29840.3,31328.8
 Iceland,30975.2,30821.0,29609.9,29658.7,30234.1,30073.3,31379.7,33204.6,35259.2,36443.7,37573.3,38693.7,39724.8,39734.3,41303.9,43521.0,44080.2,48004.7,40444.0,38100.5,37239.0,39148.4,40730.3,45864.0,46504.1,48907.5,53281.8,54377.5,54959.9,54682.4
 India,1787.1,1765.6,1825.4,1877.5,1966.2,2078.1,2197.0,2245.4,2340.8,2504.4,2548.0,2630.0,2689.2,2851.2,3028.8,3216.8,3420.5,3640.1,3691.3,3925.8,4181.6,4353.0,4520.6,4749.4,5047.2,5391.4,5722.3,6119.1,6427.2,6681.3
 Indonesia,4202.1,4507.4,4747.9,5042.2,5398.8,5737.7,6110.9,6290.2,5237.0,5117.7,5314.9,5603.8,5819.9,5963.6,6132.3,6376.8,6680.9,7022.2,7389.5,7633.7,8058.5,8430.6,8819.4,9171.0,9472.8,9815.4,10197.5,10589.3,11041.8,11459.1
 Iran (Islamic Republic of),8673.1,9514.8,9598.3,9567.1,9197.9,9412.1,9582.4,9581.7,9731.2,9581.0,10071.3,10033.9,10651.2,11430.6,11752.2,11981.7,12466.0,13365.7,13260.3,13199.9,13812.7,14011.3,12896.7,12711.7,13078.7,12730.2,14245.6,14562.9,13617.1,12446.7
 Iraq,8167.7,2696.1,3345.6,4826.2,4463.0,3541.3,5143.9,6044.5,7931.2,9007.3,8979.6,8909.6,7956.8,5292.4,7954.4,8050.0,8307.8,8354.0,9279.7,9116.9,9274.8,9514.3,10516.8,10798.4,10382.2,10485.0,11589.5,10891.0,10581.4,10800.8
 Ireland,24383.8,24908.1,25326.5,25997.6,27457.9,29468.8,31577.8,34178.8,36512.5,38910.9,41963.4,42576.3,43572.5,45393.0,47847.5,49610.6,51356.4,51898.9,48612.1,44165.9,44851.5,43373.7,42998.8,45199.3,48791.6,54473.8,59397.3,62042.7,65762.2,68370.6
 Israel,23667.8,24213.1,25149.8,25497.3,26660.6,27785.2,28321.2,28593.0,29037.6,28901.5,29643.6,29615.8,29176.4,28947.6,29840.6,31089.3,32390.8,33744.4,33555.2,32905.6,34305.5,35469.4,35173.9,36143.6,37308.6,37313.2,38023.7,38573.1,39567.8,40186.8
 Italy,36282.3,36750.0,36975.3,36725.2,37450.1,38658.9,39234.4,40138.9,40814.4,41621.4,43098.1,43947.3,43930.5,43779.9,44258.9,44546.4,45315.0,45612.5,44434.7,42253.1,42781.8,42993.6,41653.7,40395.0,40096.3,40164.2,41155.4,42013.2,42656.9,42776.4
 Jamaica,7166.2,7114.5,7631.3,9694.4,9398.6,9474.4,9643.0,9526.2,9095.5,9069.7,9101.8,9061.6,8907.9,9218.8,9308.8,9311.5,9618.9,9711.1,9708.7,9107.1,9087.8,9214.0,9305.4,9209.4,9242.0,9186.4,9149.8,9315.2,9296.7,9319.1
 Japan,32322.8,33305.8,33559.2,33313.7,33515.7,34309.4,35397.4,35728.7,35206.4,35049.8,36045.0,36140.1,36058.7,36590.2,37495.5,38220.8,38904.9,39646.4,39030.4,36871.6,38455.2,38563.3,39142.6,40239.5,40535.5,41194.2,41279.0,42315.3,42563.6,42931.7
 Jordan,7062.8,6580.9,7562.4,7579.6,7618.7,7846.5,7748.4,7922.9,8086.2,8206.0,8664.6,9010.7,9251.0,9480.1,10099.8,10558.9,11024.2,11523.3,11641.2,11652.6,11039.2,10724.8,10389.8,10170.5,10001.4,9855.7,9790.4,9791.3,9806.6,9858.5
