"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2030",""
"Total population (millions)
null
Dimension: Demography
Definition: De facto population in a country, area or region as of 1 July.
Source: UNDESA (2019a). World Population Prospects: The 2019 Revision. Rev 1. New York. https://population.un.org/wpp/. Accessed 30 April 2020."
".."," Korea (Democratic People's Rep. of)","20.3","","21.9","","22.9","","23.9","","24.5","","24.7","","24.8","","24.9","","25.1","","25.2","","25.3","","25.4","","25.6","","25.7","","26.7","a"
"23"," Korea (Republic of)","42.9","","45.3","","47.4","","48.7","","49.5","","49.8","","50.1","","50.3","","50.6","","50.8","","51.0","","51.1","","51.2","","51.2","","51.2","a"
"64"," Kuwait","2.1","","1.6","","2.0","","2.3","","3.0","","3.2","","3.3","","3.5","","3.7","","3.8","","4.0","","4.1","","4.1","","4.2","","4.7","a"
"120"," Kyrgyzstan","4.4","","4.6","","4.9","","5.1","","5.4","","5.5","","5.6","","5.7","","5.8","","6.0","","6.1","","6.2","","6.3","","6.4","","7.4","a"
"137"," Lao People's Democratic Republic","4.3","","4.8","","5.3","","5.8","","6.2","","6.3","","6.4","","6.5","","6.6","","6.7","","6.8","","7.0","","7.1","","7.2","","8.2","a"
"37"," Latvia","2.7","","2.5","","2.4","","2.3","","2.1","","2.1","","2.1","","2.0","","2.0","","2.0","","2.0","","2.0","","1.9","","1.9","","1.7","a"
"92"," Lebanon","2.8","","3.5","","3.8","","4.7","","5.0","","5.2","","5.5","","5.9","","6.3","","6.5","","6.7","","6.8","","6.9","","6.9","","6.2","a"
"165"," Lesotho","1.7","","1.9","","2.0","","2.0","","2.0","","2.0","","2.0","","2.0","","2.0","","2.1","","2.1","","2.1","","2.1","","2.1","","2.3","a"
"175"," Liberia","2.1","","2.0","","2.8","","3.2","","3.9","","4.0","","4.1","","4.2","","4.4","","4.5","","4.6","","4.7","","4.8","","4.9","","6.4","a"
"105"," Libya","4.4","","4.9","","5.4","","5.8","","6.2","","6.2","","6.3","","6.3","","6.4","","6.4","","6.5","","6.6","","6.7","","6.8","","7.6","a"
"19"," Liechtenstein","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"34"," Lithuania","3.7","","3.6","","3.5","","3.3","","3.1","","3.1","","3.0","","3.0","","3.0","","2.9","","2.9","","2.8","","2.8","","2.8","","2.5","a"
"23"," Luxembourg","0.4","","0.4","","0.4","","0.5","","0.5","","0.5","","0.5","","0.5","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.7","a"
"164"," Madagascar","11.6","","13.5","","15.8","","18.3","","21.2","","21.7","","22.3","","23.0","","23.6","","24.2","","24.9","","25.6","","26.3","","27.0","","35.6","a"
"174"," Malawi","9.4","","9.8","","11.1","","12.6","","14.5","","15.0","","15.4","","15.8","","16.3","","16.7","","17.2","","17.7","","18.1","","18.6","","24.8","a"
"62"," Malaysia","18.0","g","20.5","g","23.2","g","25.7","g","28.2","g","28.7","g","29.1","g","29.5","g","29.9","g","30.3","g","30.7","g","31.1","g","31.5","g","31.9","g","36.1","a,g"
"95"," Maldives","0.2","","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4","","0.5","","0.5","","0.5","","0.5","","0.5","","0.5","a"
"184"," Mali","8.4","","9.6","","10.9","","12.8","","15.0","","15.5","","16.0","","16.4","","16.9","","17.4","","18.0","","18.5","","19.1","","19.7","","27.0","a"
"28"," Malta","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","a"
"117"," Marshall Islands","0.0","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","a"
"157"," Mauritania","2.0","","2.3","","2.6","","3.0","","3.5","","3.6","","3.7","","3.8","","3.9","","4.0","","4.2","","4.3","","4.4","","4.5","","6.0","a"
"66"," Mauritius","1.1","w","1.1","w","1.2","w","1.2","w","1.2","w","1.3","w","1.3","w","1.3","w","1.3","w","1.3","w","1.3","w","1.3","w","1.3","w","1.3","w","1.3","a,w"
"74"," Mexico","83.9","","91.7","","98.9","","106.0","","114.1","","115.7","","117.3","","118.8","","120.4","","121.9","","123.3","","124.8","","126.2","","127.6","","140.9","a"
"136"," Micronesia (Federated States of)","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","a"
"90"," Moldova (Republic of)","4.4","x","4.3","x","4.2","x","4.2","x","4.1","x","4.1","x","4.1","x","4.1","x","4.1","x","4.1","x","4.1","x","4.1","x","4.1","x","4.0","x","3.9","a,x"
".."," Monaco","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"99"," Mongolia","2.2","","2.3","","2.4","","2.5","","2.7","","2.8","","2.8","","2.9","","2.9","","3.0","","3.1","","3.1","","3.2","","3.2","","3.7","a"
"48"," Montenegro","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","a"
"121"," Morocco","24.8","","27.0","","28.8","","30.5","","32.3","","32.8","","33.2","","33.7","","34.2","","34.7","","35.1","","35.6","","36.0","","36.5","","40.9","a"
"181"," Mozambique","13.0","","15.5","","17.7","","20.5","","23.5","","24.2","","24.9","","25.6","","26.3","","27.0","","27.8","","28.6","","29.5","","30.4","","41.2","a"
"147"," Myanmar","41.3","","43.9","","46.7","","49.0","","50.6","","51.0","","51.4","","51.9","","52.3","","52.7","","53.0","","53.4","","53.7","","54.0","","58.5","a"
"130"," Namibia","1.4","","1.6","","1.8","","1.9","","2.1","","2.2","","2.2","","2.2","","2.3","","2.3","","2.4","","2.4","","2.4","","2.5","","3.0","a"
".."," Nauru","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"142"," Nepal","18.9","","21.6","","23.9","","25.7","","27.0","","27.0","","27.0","","26.9","","26.9","","27.0","","27.3","","27.6","","28.1","","28.6","","33.4","a"
"8"," Netherlands","15.0","","15.5","","15.9","","16.4","","16.7","","16.7","","16.8","","16.8","","16.9","","16.9","","17.0","","17.0","","17.1","","17.1","","17.4","a"
"14"," New Zealand","3.4","","3.7","","3.9","","4.1","","4.4","","4.4","","4.5","","4.5","","4.6","","4.6","","4.7","","4.7","","4.7","","4.8","","5.2","a"
"128"," Nicaragua","4.2","","4.7","","5.1","","5.4","","5.8","","5.9","","6.0","","6.1","","6.1","","6.2","","6.3","","6.4","","6.5","","6.5","","7.4","a"
"189"," Niger","8.0","","9.5","","11.3","","13.6","","16.5","","17.1","","17.8","","18.5","","19.2","","20.0","","20.8","","21.6","","22.4","","23.3","","34.8","a"
"161"," Nigeria","95.2","","107.9","","122.3","","138.9","","158.5","","162.8","","167.2","","171.8","","176.4","","181.1","","186.0","","190.9","","195.9","","201.0","","263.0","a"
